x,alpha1_ref,rho_ref,u_ref,p_ref
1.650000000000000078e-01,0.000000000000000000e+00,1.000000000000000000e+03,-1.000000000000000000e+02,1.000000000000000000e+05
1.750000000000000167e-01,0.000000000000000000e+00,1.000000000000000000e+03,-1.000000000000000000e+02,1.000000000000000000e+05
1.849999999999999978e-01,0.000000000000000000e+00,1.000000000000000000e+03,-1.000000000000000000e+02,1.000000000000000000e+05
1.950000000000000067e-01,0.000000000000000000e+00,1.000000000000000000e+03,-1.000000000000000000e+02,1.000000000000000000e+05
2.050000000000000155e-01,0.000000000000000000e+00,1.000000000000000000e+03,-1.000000000000000000e+02,1.000000000000000000e+05
2.149999999999999967e-01,0.000000000000000000e+00,1.000000000000000000e+03,-1.000000000000000000e+02,1.000000000000000000e+05
2.250000000000000056e-01,0.000000000000000000e+00,1.000000000000000000e+03,-1.000000000000000000e+02,1.000000000000000000e+05
2.350000000000000144e-01,0.000000000000000000e+00,1.000000000000000000e+03,-1.000000000000000000e+02,1.000000000000000000e+05
2.449999999999999956e-01,0.000000000000000000e+00,1.000000000000000000e+03,-1.000000000000000000e+02,1.000000000000000000e+05
2.550000000000000044e-01,0.000000000000000000e+00,9.933333333333333712e+02,-1.000000000000000000e+02,9.892857142857143481e+04
2.650000000000000133e-01,0.000000000000000000e+00,9.800000000000000000e+02,-1.000000000000000000e+02,9.678571428571428987e+04
2.750000000000000222e-01,0.000000000000000000e+00,9.666666666666666288e+02,-1.000000000000000000e+02,9.464285714285714494e+04
2.850000000000000311e-01,0.000000000000000000e+00,9.533333333333332575e+02,-1.000000000000000000e+02,9.250000000000000000e+04
2.949999999999999845e-01,0.000000000000000000e+00,9.400000000000000000e+02,-1.000000000000000000e+02,9.035714285714286962e+04
3.049999999999999933e-01,3.333333333333336583e-03,9.266666666666667425e+02,-9.887500000000000000e+01,8.821428571428571013e+04
3.150000000000000022e-01,1.000000000000001062e-02,9.133333333333333712e+02,-9.662500000000000000e+01,8.607142857142857974e+04
3.250000000000000111e-01,1.666666666666668378e-02,9.000000000000000000e+02,-9.437500000000000000e+01,7.916666666666665697e+04
3.350000000000000200e-01,2.333333333333335521e-02,8.866666666666666288e+02,-9.212500000000000000e+01,6.749999999999998545e+04
3.450000000000000289e-01,3.000000000000003011e-02,8.416666666666666288e+02,-8.987500000000000000e+01,5.583333333333330665e+04
3.549999999999999822e-01,3.666666666666666685e-02,7.650000000000003411e+02,-8.762500000000000000e+01,4.416666666666669335e+04
3.649999999999999911e-01,9.666666666666670626e-02,6.883333333333335986e+02,-8.537500000000000000e+01,3.250000000000001455e+04
3.750000000000000000e-01,2.100000000000001310e-01,6.116666666666668561e+02,-8.312500000000000000e+01,2.083333333333333576e+04
3.850000000000000089e-01,3.233333333333335280e-01,5.350000000000001137e+02,-7.800000000000000000e+01,1.369999999999999818e+04
3.950000000000000178e-01,4.366666666666669805e-01,4.583333333333333712e+02,-6.999999999999998579e+01,1.109999999999999636e+04
4.050000000000000266e-01,5.500000000000004885e-01,3.879999999999999432e+02,-6.199999999999998579e+01,8.499999999999992724e+03
4.150000000000000355e-01,6.633333333333338855e-01,3.239999999999998863e+02,-5.399999999999997868e+01,5.899999999999989086e+03
4.249999999999999889e-01,7.449999999999999956e-01,2.600000000000001705e+02,-4.600000000000001421e+01,3.300000000000001819e+03
4.349999999999999978e-01,7.950000000000000400e-01,1.960000000000000853e+02,-3.800000000000001421e+01,2.000000000000000000e+03
4.450000000000000067e-01,8.449999999999999734e-01,1.320000000000000000e+02,-3.000000000000000711e+01,2.000000000000000000e+03
4.550000000000000155e-01,8.950000000000000178e-01,1.000000000000000000e+02,-2.200000000000000000e+01,2.000000000000000000e+03
4.650000000000000244e-01,9.200000000000000400e-01,1.000000000000000000e+02,-1.574999999999999645e+01,2.000000000000000000e+03
4.750000000000000333e-01,9.200000000000000400e-01,1.000000000000000000e+02,-1.124999999999998934e+01,2.000000000000000000e+03
4.849999999999999867e-01,9.200000000000000400e-01,1.000000000000000000e+02,-6.750000000000008882e+00,2.000000000000000000e+03
4.949999999999999956e-01,9.200000000000000400e-01,1.000000000000000000e+02,-2.250000000000003553e+00,2.000000000000000000e+03
5.050000000000000044e-01,9.200000000000000400e-01,1.000000000000000000e+02,4.583333333333333037e+00,2.000000000000000000e+03
5.150000000000000133e-01,9.200000000000000400e-01,1.000000000000000000e+02,1.375000000000000000e+01,2.000000000000000000e+03
5.250000000000000222e-01,9.200000000000000400e-01,1.000000000000000000e+02,2.291666666666666785e+01,2.000000000000000000e+03
5.350000000000000311e-01,9.200000000000000400e-01,1.000000000000000000e+02,3.208333333333333570e+01,2.000000000000000000e+03
5.450000000000000400e-01,9.124999999999999778e-01,1.000000000000000000e+02,4.125000000000000000e+01,2.000000000000000000e+03
5.550000000000000488e-01,8.974999999999999645e-01,1.140000000000000284e+02,5.041666666666666430e+01,2.000000000000000000e+03
5.650000000000000577e-01,8.824999999999999512e-01,1.420000000000000853e+02,5.705000000000000426e+01,2.000000000000000000e+03
5.750000000000000666e-01,8.674999999999998268e-01,1.700000000000001705e+02,6.115000000000000568e+01,3.916666666666708807e+03
5.849999999999999645e-01,7.924999999999999822e-01,1.979999999999998863e+02,6.524999999999997158e+01,7.750000000000000000e+03
5.949999999999999734e-01,6.574999999999999734e-01,2.259999999999999716e+02,6.934999999999996589e+01,1.158333333333333212e+04
6.049999999999999822e-01,5.224999999999999645e-01,2.831250000000000000e+02,7.344999999999997442e+01,1.541666666666666606e+04
6.149999999999999911e-01,3.875000000000000111e-01,3.693750000000000000e+02,7.754999999999998295e+01,1.925000000000000000e+04
6.250000000000000000e-01,2.525000000000000577e-01,4.556250000000000000e+02,8.164999999999997726e+01,2.308333333333333212e+04
6.350000000000000089e-01,1.175000000000000488e-01,5.418750000000000000e+02,8.574999999999998579e+01,3.035714285714286598e+04
6.450000000000000178e-01,4.583333333333333010e-02,6.281250000000000000e+02,8.984999999999999432e+01,4.107142857142859430e+04
6.550000000000000266e-01,3.749999999999997780e-02,7.143750000000000000e+02,9.395000000000000284e+01,5.178571428571432625e+04
6.650000000000000355e-01,2.916666666666662897e-02,8.006250000000000000e+02,9.616666666666667140e+01,6.250000000000005821e+04
6.750000000000000444e-01,2.083333333333328014e-02,8.868750000000000000e+02,9.650000000000000000e+01,7.321428571428578289e+04
6.850000000000000533e-01,1.249999999999993477e-02,9.335000000000000000e+02,9.683333333333332860e+01,8.392857142857150757e+04
6.950000000000000622e-01,4.166666666666582475e-03,9.405000000000000000e+02,9.716666666666667140e+01,9.464285714285724680e+04
7.049999999999999600e-01,0.000000000000000000e+00,9.474999999999998863e+02,9.750000000000000000e+01,1.000000000000000000e+05
7.149999999999999689e-01,0.000000000000000000e+00,9.545000000000000000e+02,9.783333333333332860e+01,1.000000000000000000e+05
7.249999999999999778e-01,0.000000000000000000e+00,9.615000000000000000e+02,9.816666666666667140e+01,1.000000000000000000e+05
7.349999999999999867e-01,0.000000000000000000e+00,9.685000000000000000e+02,9.850000000000000000e+01,1.000000000000000000e+05
7.449999999999999956e-01,0.000000000000000000e+00,9.755000000000000000e+02,9.883333333333332860e+01,1.000000000000000000e+05
7.550000000000000044e-01,0.000000000000000000e+00,9.825000000000000000e+02,9.916666666666667140e+01,1.000000000000000000e+05
7.650000000000000133e-01,0.000000000000000000e+00,9.895000000000000000e+02,9.950000000000000000e+01,1.000000000000000000e+05
7.750000000000000222e-01,0.000000000000000000e+00,9.965000000000000000e+02,9.983333333333332860e+01,1.000000000000000000e+05
7.850000000000000311e-01,0.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000000e+02,1.000000000000000000e+05
7.950000000000000400e-01,0.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000000e+02,1.000000000000000000e+05
