x,alpha1_ref,rho_ref,u_ref,p_ref
1.668749999999999956e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.681249999999999967e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.693749999999999978e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.706249999999999989e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.718750000000000000e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.731250000000000011e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.743750000000000022e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.756250000000000033e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.768750000000000044e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.781250000000000056e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.793750000000000067e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.806250000000000078e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.818750000000000089e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.831250000000000100e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.843750000000000111e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.856250000000000122e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.868750000000000133e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.881250000000000144e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.893750000000000155e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.906250000000000167e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.918750000000000178e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.931249999999999911e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.943749999999999922e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.956249999999999933e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.968749999999999944e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.981249999999999956e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.993749999999999967e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.006249999999999978e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.018749999999999989e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.031250000000000000e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.043750000000000011e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.056250000000000022e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.068750000000000033e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.081250000000000044e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.093750000000000056e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.106250000000000067e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.118750000000000078e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.131250000000000089e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.143750000000000100e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.156250000000000111e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.168750000000000122e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
