x,y,z,g,g0
0.0551948,0.0324675,0.347403,3.281144e-16,0
0.0714286,0.0292208,0.347403,-2.106995e-15,0
0.0681818,0.0324675,0.347403,-6.851979e-16,0
0.0844156,0.0292208,0.347403,-6.80698e-15,0
0.0811688,0.0324675,0.347403,-2.898734e-15,0
0.0974026,0.0292208,0.347403,-1.266215e-14,0
0.0941558,0.0324675,0.347403,-4.779751e-15,0
0.11039,0.0292208,0.347403,-1.350563e-14,0
0.107143,0.0324675,0.347403,-7.52526e-15,0
0.123377,0.0292208,0.347403,-1.265795e-14,0
0.12013,0.0324675,0.347403,-1.341784e-14,0
0.136364,0.0292208,0.347403,-4.801146e-15,0
0.133117,0.0324675,0.347403,-1.030193e-14,0
0.149351,0.0292208,0.347403,1.145623e-15,0
0.146104,0.0324675,0.347403,-6.494784e-15,0
0.162338,0.0292208,0.347403,6.047644e-15,0
0.159091,0.0324675,0.347403,2.184793e-15,0
0.175325,0.0292208,0.347403,6.589218e-15,0
0.172078,0.0324675,0.347403,6.01591e-15,0
0.188312,0.0292208,0.347403,4.641414e-15,0
0.185065,0.0324675,0.347403,5.595474e-15,0
0.201299,0.0292208,0.347403,1.769184e-15,0
0.198052,0.0324675,0.347403,3.702094e-15,0
0.214286,0.0292208,0.347403,-1.500959e-15,0
0.211039,0.0324675,0.347403,1.148851e-15,0
0.227273,0.0292208,0.347403,-6.28833e-15,0
0.224026,0.0324675,0.347403,-1.845023e-15,0
0.24026,0.0292208,0.347403,-8.982476e-15,0
0.237013,0.0324675,0.347403,-5.464026e-15,0
0.253247,0.0292208,0.347403,-4.229506e-15,0
0.25,0.0324675,0.347403,-2.717867e-15,0
0.266234,0.0292208,0.347403,2.724685e-15,0
0.262987,0.0324675,0.347403,-1.318017e-15,0
0.279221,0.0292208,0.347403,8.422356e-15,0
0.275974,0.0324675,0.347403,-1.046258e-15,0
0.292208,0.0292208,0.347403,1.660265e-14,0
0.288961,0.0324675,0.347403,1.78018e-15,0
0.305195,0.0292208,0.347403,2.991702e-14,0
0.301948,0.0324675,0.347403,9.069844e-15,0
0.318182,0.0292208,0.347403,4.378988e-14,0
0.314935,0.0324675,0.347403,7.413921e-15,0
0.331169,0.0292208,0.347403,6.282717e-14,0
0.327922,0.0324675,0.347403,8.966331e-15,0
0.344156,0.0292208,0.347403,4.367425e-14,0
0.340909,0.0324675,0.347403,-1.377526e-15,0
0.357143,0.0292208,0.347403,-2.684613e-14,0
