x,y,z,g,g0
0.786184,0.00328947,0.348684,-6.144065e-17,0
0.779605,0.00986842,0.348684,-2.875772e-17,0
0.782895,0.00328947,0.351974,-4.604508e-17,0
0.779605,0.00657895,0.351974,4.762694e-17,0
0.799342,0.00328947,0.348684,-5.955726e-17,0
0.792763,0.00986842,0.348684,7.680267e-17,0
0.796053,0.00328947,0.351974,-7.327251e-17,0
0.792763,0.00657895,0.351974,2.227611e-17,0
0.8125,0.00328947,0.348684,-2.596491e-17,0
0.805921,0.00986842,0.348684,6.399295e-17,0
0.809211,0.00328947,0.351974,-3.785563e-17,0
0.805921,0.00657895,0.351974,-6.373327e-19,0
0.825658,0.00328947,0.348684,-1.939721e-18,0
0.819079,0.00986842,0.348684,2.082684e-17,0
0.822368,0.00328947,0.351974,-6.337149e-18,0
0.819079,0.00657895,0.351974,-4.483239e-18,0
0.838816,0.00328947,0.348684,6.339156e-18,0
0.832237,0.00986842,0.348684,-4.423579e-18,0
0.835526,0.00328947,0.351974,6.214717e-18,0
0.832237,0.00657895,0.351974,-3.677723e-18,0
0.851974,0.00328947,0.348684,5.329792e-18,0
0.845395,0.00986842,0.348684,-7.860282e-18,0
0.848684,0.00328947,0.351974,6.42735e-18,0
0.845395,0.00657895,0.351974,-1.787758e-18,0
0.865132,0.00328947,0.348684,1.710481e-18,0
0.858553,0.00986842,0.348684,-4.443958e-18,0
0.861842,0.00328947,0.351974,2.733917e-18,0
0.858553,0.00657895,0.351974,-6.587861e-19,0
0.878289,0.00328947,0.348684,7.982139e-20,0
0.871711,0.00986842,0.348684,-7.825867e-19,0
0.875,0.00328947,0.351974,3.840741e-19,0
0.871711,0.00657895,0.351974,1.425701e-19,0
0.891447,0.00328947,0.348684,-3.852129e-20,0
0.884868,0.00986842,0.348684,1.059233e-19,0
0.888158,0.00328947,0.351974,-3.103687e-20,0
0.884868,0.00657895,0.351974,9.765457e-20,0
0.904605,0.00328947,0.348684,-3.090637e-21,0
0.898026,0.00986842,0.348684,2.946698e-20,0
0.901316,0.00328947,0.351974,-7.999058e-21,0
0.898026,0.00657895,0.351974,-6.630196e-21,0
0.917763,0.00328947,0.348684,2.097213e-22,0
0.911184,0.00986842,0.348684,-2.996047e-22,0
0.914474,0.00328947,0.351974,-1.161872e-22,0
0.911184,0.00657895,0.351974,-2.47606e-21,0
0.930921,0.00328947,0.348684,1.340502e-23,0
0.924342,0.00986842,0.348684,-3.144025e-22,0
0.927632,0.00328947,0.351974,1.695065e-23,0
0.924342,0.00657895,0.351974,1.170664e-22,0
0.944079,0.00328947,0.348684,-4.200179e-25,0
0.9375,0.00986842,0.348684,-7.08569e-24,0
0.940789,0.00328947,0.351974,8.830627e-25,0
0.9375,0.00657895,0.351974,1.479986e-23,0
0.957237,0.00328947,0.348684,-1.128727e-26,0
0.950658,0.00986842,0.348684,4.553471e-25,0
0.953947,0.00328947,0.351974,2.904909e-26,0
0.950658,0.00657895,0.351974,-7.858152e-26,0
0.970395,0.00328947,0.348684,3.526043e-29,0
0.963816,0.00986842,0.348684,7.724246e-27,0
0.967105,0.00328947,0.351974,2.165197e-28,0
0.963816,0.00657895,0.351974,-8.521176e-27,0
0.983553,0.00328947,0.348684,-3.132203e-31,0
0.976974,0.00986842,0.348684,-1.19566e-28,0
0.980263,0.00328947,0.351974,-2.882233e-32,0
0.976974,0.00657895,0.351974,5.755457e-29,0
0.996711,0.00328947,0.348684,-1.03074e-32,0
0.990132,0.00986842,0.348684,-1.498139e-31,0
0.993421,0.00328947,0.351974,-1.772999e-33,0
0.990132,0.00657895,0.351974,6.502743e-32,0
0.00986842,0.0164474,0.348684,-2.208645e-21,0
0.00328947,0.0230263,0.348684,5.191611e-21,0
0.00657895,0.0164474,0.351974,1.71139e-21,0
0.00328947,0.0197368,0.351974,8.236286e-22,0
0.0230263,0.0164474,0.348684,-4.305332e-21,0
0.0164474,0.0230263,0.348684,-3.258018e-20,0
0.0197368,0.0164474,0.351974,-1.870486e-20,0
0.0164474,0.0197368,0.351974,-2.34037e-20,0
0.0361842,0.0164474,0.348684,8.414178e-19,0
0.0296053,0.0230263,0.348684,2.559987e-19,0
0.0328947,0.0164474,0.351974,5.654771e-19,0
0.0296053,0.0197368,0.351974,1.967655e-19,0
0.0493421,0.0164474,0.348684,4.394317e-18,0
0.0427632,0.0230263,0.348684,1.152468e-18,0
0.0460526,0.0164474,0.351974,3.567468e-18,0
0.0427632,0.0197368,0.351974,2.160633e-18,0
0.0625,0.0164474,0.348684,5.278806e-18,0
0.0559211,0.0230263,0.348684,-3.241299e-18,0
0.0592105,0.0164474,0.351974,3.619321e-18,0
0.0559211,0.0197368,0.351974,3.644114e-18,0
0.0756579,0.0164474,0.348684,4.032593e-18,0
0.0690789,0.0230263,0.348684,-1.171034e-17,0
0.0723684,0.0164474,0.351974,-2.290494e-18,0
0.0690789,0.0197368,0.351974,-1.191154e-18,0
0.0888158,0.0164474,0.348684,4.994446e-17,0
0.0822368,0.0230263,0.348684,1.428045e-17,0
0.0855263,0.0164474,0.351974,3.82783e-17,0
0.0822368,0.0197368,0.351974,1.483043e-17,0
0.101974,0.0164474,0.348684,1.370877e-16,0
0.0953947,0.0230263,0.348684,3.746042e-17,0
0.0986842,0.0164474,0.351974,1.317505e-16,0
0.0953947,0.0197368,0.351974,6.496046e-17,0
0.115132,0.0164474,0.348684,1.81449e-16,0
0.108553,0.0230263,0.348684,-4.885651e-17,0
0.111842,0.0164474,0.351974,1.803352e-16,0
0.108553,0.0197368,0.351974,6.828353e-17,0
0.128289,0.0164474,0.348684,1.55204e-16,0
0.121711,0.0230263,0.348684,-1.892844e-16,0
0.125,0.0164474,0.351974,1.533123e-16,0
0.121711,0.0197368,0.351974,2.060393e-17,0
0.141447,0.0164474,0.348684,1.239963e-16,0
0.134868,0.0230263,0.348684,-2.169356e-16,0
0.138158,0.0164474,0.351974,1.037053e-16,0
0.134868,0.0197368,0.351974,-6.423557e-18,0
0.154605,0.0164474,0.348684,1.74751e-16,0
0.148026,0.0230263,0.348684,-1.29914e-16,0
0.151316,0.0164474,0.351974,1.14865e-16,0
0.148026,0.0197368,0.351974,2.675272e-17,0
0.167763,0.0164474,0.348684,2.577325e-16,0
0.161184,0.0230263,0.348684,-9.397776e-17,0
0.164474,0.0164474,0.351974,1.81449e-16,0
0.161184,0.0197368,0.351974,9.1889e-17,0
