shape,axis,bin_lo,bin_hi,metric,n,median,rms,p90,p99,max
hex,smax,0.5,0.70711,refconv_C,43643,6.772360e-15,5.855231e-13,2.020606e-14,2.730216e-13,8.384990e-11
hex,smax,0.70711,1,errC_gauss,61447,2.123562e-03,2.993239e-03,4.876660e-03,7.108695e-03,1.209150e-02
hex,smax,0.70711,1,errC_prod,61447,2.121879e-04,4.524698e-04,7.436191e-04,1.456688e-03,2.740663e-03
hex,smax,0.70711,1,refconv_C,61447,1.137979e-14,9.608160e-12,2.155665e-13,6.698353e-12,1.237811e-09
hex,smax,1,1.41421,errC_gauss,93056,3.600674e-03,4.854876e-03,7.637520e-03,1.243054e-02,2.147224e-02
hex,smax,1,1.41421,errC_prod,93056,3.490491e-04,6.859621e-04,1.148314e-03,2.038225e-03,4.401136e-03
hex,smax,1,1.41421,refconv_C,93056,6.301210e-14,1.705184e-10,8.915924e-12,1.819997e-10,2.771563e-08
hex,smax,1.41421,2,errC_gauss,104984,5.677358e-03,8.182806e-03,1.305800e-02,2.181921e-02,3.911312e-02
hex,smax,1.41421,2,errC_prod,104984,5.794075e-04,1.083239e-03,1.834816e-03,3.012032e-03,6.769054e-03
hex,smax,1.41421,2,refconv_C,104984,4.330633e-12,2.209197e-09,3.767721e-10,4.693009e-09,2.821520e-07
hex,smax,2,2.82843,errC_gauss,147765,9.321239e-03,1.368453e-02,2.220511e-02,3.582163e-02,5.636996e-02
hex,smax,2,2.82843,errC_prod,147765,9.038174e-04,1.823593e-03,3.174736e-03,5.124194e-03,1.189818e-02
hex,smax,2,2.82843,refconv_C,147765,2.395796e-10,2.594465e-08,1.069962e-08,8.401241e-08,2.512849e-06
hex,smax,2.82843,4,errC_gauss,240088,1.268836e-02,1.807246e-02,2.947266e-02,4.516556e-02,7.319406e-02
hex,smax,2.82843,4,errC_prod,240088,1.261220e-03,3.062919e-03,5.482651e-03,8.881624e-03,1.801172e-02
hex,smax,2.82843,4,refconv_C,240088,6.532976e-09,2.672602e-07,1.810297e-07,1.058180e-06,1.785579e-05
hex,smax,4,5.65685,errC_gauss,192618,1.333772e-02,1.991315e-02,3.300139e-02,5.022955e-02,9.071460e-02
hex,smax,4,5.65685,errC_prod,192618,2.081457e-03,4.740237e-03,8.385966e-03,1.412970e-02,2.729716e-02
hex,smax,4,5.65685,refconv_C,192618,1.042739e-07,1.896299e-06,2.011403e-06,8.310647e-06,6.840727e-05
hex,smax,5.65685,8,errC_gauss,76275,1.343619e-02,2.055874e-02,3.419286e-02,5.272327e-02,8.927123e-02
hex,smax,5.65685,8,errC_prod,76275,3.521659e-03,7.510158e-03,1.300428e-02,2.288854e-02,4.172387e-02
hex,smax,5.65685,8,refconv_C,76275,1.147516e-06,1.035894e-05,1.401353e-05,4.497320e-05,2.071910e-04
hex,smax,8,11.3137,errC_gauss,23964,1.658049e-02,2.584369e-02,4.251268e-02,6.805225e-02,1.200639e-01
hex,smax,8,11.3137,errC_prod,23964,5.281878e-03,1.128791e-02,2.012530e-02,3.342408e-02,5.113586e-02
hex,smax,8,11.3137,refconv_C,23964,6.811482e-06,4.160439e-05,6.225476e-05,1.676807e-04,4.400258e-04
hex,smax,11.3137,16,errC_gauss,4482,2.417635e-02,3.951837e-02,6.684694e-02,1.067579e-01,1.620196e-01
hex,smax,11.3137,16,errC_prod,4482,7.091122e-03,1.498327e-02,2.662902e-02,4.411952e-02,5.768626e-02
hex,smax,11.3137,16,refconv_C,4482,2.374292e-05,1.171124e-04,1.894308e-04,4.326544e-04,1.079097e-03
hex,smax,16,22.6274,errC_gauss,524,4.106524e-02,5.856873e-02,9.813547e-02,1.345188e-01,1.733672e-01
hex,smax,16,22.6274,errC_prod,524,8.459921e-03,2.060142e-02,3.950835e-02,5.893054e-02,6.326746e-02
hex,smax,16,22.6274,refconv_C,524,7.441095e-05,3.626894e-04,4.628850e-04,1.626037e-03,2.195225e-03
hex,smax,22.6274,32,errC_gauss,22,4.946069e-02,5.952416e-02,9.968625e-02,1.063796e-01,1.075858e-01
hex,smax,22.6274,32,errC_prod,22,5.639200e-03,2.472854e-02,4.990232e-02,5.151005e-02,5.156639e-02
hex,smax,22.6274,32,refconv_C,22,7.282575e-05,6.289696e-04,1.260423e-03,1.612888e-03,1.691211e-03
prism,smax,0.25,0.35355,errC_gauss,2,8.729283e-04,8.800360e-04,9.622261e-04,9.823181e-04,9.845505e-04
prism,smax,0.25,0.35355,errC_prod,2,3.225225e-04,4.448071e-04,5.675793e-04,6.227171e-04,6.288436e-04
prism,smax,0.25,0.35355,refconv_C,2,5.496062e-12,7.765151e-12,9.884474e-12,1.087187e-11,1.098158e-11
prism,smax,0.35355,0.5,errC_gauss,1131,8.773405e-04,1.011153e-03,1.496068e-03,2.347042e-03,3.288197e-03
prism,smax,0.35355,0.5,errC_prod,1131,8.714771e-05,2.308424e-04,3.319327e-04,8.764876e-04,1.730057e-03
prism,smax,0.35355,0.5,refconv_C,1131,5.773160e-15,1.572750e-12,1.698641e-14,2.824407e-14,4.516177e-11
prism,smax,0.5,0.70711,errC_gauss,12706,1.295915e-03,1.640470e-03,2.585073e-03,3.779385e-03,5.675948e-03
prism,smax,0.5,0.70711,errC_prod,12706,1.324684e-04,3.318838e-04,5.103463e-04,1.167435e-03,3.458675e-03
prism,smax,0.5,0.70711,refconv_C,12706,7.549517e-15,7.651504e-12,2.242651e-14,7.400192e-13,8.013252e-10
prism,smax,0.70711,1,errC_gauss,34768,2.016848e-03,2.590273e-03,4.031464e-03,6.190470e-03,1.148482e-02
prism,smax,0.70711,1,errC_prod,34768,2.203479e-04,5.029498e-04,7.788147e-04,1.739943e-03,6.827399e-03
prism,smax,0.70711,1,refconv_C,34768,1.437045e-14,2.440711e-10,9.104106e-13,4.525325e-11,2.579057e-08
prism,smax,1,1.41421,errC_gauss,57207,3.133898e-03,4.580353e-03,7.539992e-03,1.186711e-02,2.334152e-02
prism,smax,1,1.41421,errC_prod,57207,3.888812e-04,8.109115e-04,1.296835e-03,2.621896e-03,8.857134e-03
prism,smax,1,1.41421,refconv_C,57207,4.332090e-13,3.303181e-09,4.513991e-11,7.800034e-10,6.560748e-07
