x,y,z,g,g0
0.805921,0.00657895,0.351974,6.819985e-19,0
0.825658,0.00328947,0.348684,-6.943617e-20,0
0.819079,0.00986842,0.348684,-7.137654e-19,0
0.822368,0.00328947,0.351974,5.903812e-20,0
0.819079,0.00657895,0.351974,3.61857e-19,0
0.838816,0.00328947,0.348684,-1.793352e-19,0
0.832237,0.00986842,0.348684,2.566047e-20,0
0.835526,0.00328947,0.351974,-1.371153e-19,0
0.832237,0.00657895,0.351974,6.032513e-20,0
0.851974,0.00328947,0.348684,-8.904039e-20,0
0.845395,0.00986842,0.348684,2.130735e-19,0
0.848684,0.00328947,0.351974,-1.007503e-19,0
0.845395,0.00657895,0.351974,-8.131616e-20,0
0.865132,0.00328947,0.348684,-1.703871e-20,0
0.858553,0.00986842,0.348684,1.176249e-19,0
0.861842,0.00328947,0.351974,-3.02907e-20,0
0.858553,0.00657895,0.351974,-6.648609e-20,0
0.878289,0.00328947,0.348684,1.459881e-21,0
0.871711,0.00986842,0.348684,2.502023e-20,0
0.875,0.00328947,0.351974,-1.928359e-21,0
0.871711,0.00657895,0.351974,-1.818076e-20,0
0.891447,0.00328947,0.348684,1.119742e-21,0
0.884868,0.00986842,0.348684,-1.203052e-21,0
0.888158,0.00328947,0.351974,1.278687e-21,0
0.884868,0.00657895,0.351974,2.915548e-22,0
0.904605,0.00328947,0.348684,1.413528e-22,0
0.898026,0.00986842,0.348684,-1.466776e-21,0
0.901316,0.00328947,0.351974,3.233519e-22,0
0.898026,0.00657895,0.351974,1.126618e-21,0
0.917763,0.00328947,0.348684,4.103338e-24,0
0.911184,0.00986842,0.348684,-1.890003e-22,0
0.914474,0.00328947,0.351974,2.238298e-23,0
0.911184,0.00657895,0.351974,1.628291e-22,0
0.930921,0.00328947,0.348684,-9.239186e-26,0
0.924342,0.00986842,0.348684,-3.08786e-24,0
0.927632,0.00328947,0.351974,-2.972493e-26,0
0.924342,0.00657895,0.351974,1.936691e-24,0
0.944079,0.00328947,0.348684,-2.334736e-27,0
0.9375,0.00986842,0.348684,2.727547e-25,0
0.940789,0.00328947,0.351974,-2.158222e-26,0
0.9375,0.00657895,0.351974,-3.373721e-25,0
0.957237,0.00328947,0.348684,1.575058e-29,0
0.950658,0.00986842,0.348684,5.783058e-28,0
0.953947,0.00328947,0.351974,2.590007e-29,0
0.950658,0.00657895,0.351974,-2.61953e-28,0
0.970395,0.00328947,0.348684,1.613603e-31,0
0.963816,0.00986842,0.348684,-5.128041e-29,0
0.967105,0.00328947,0.351974,1.972876e-30,0
0.963816,0.00657895,0.351974,7.600098e-29,0
0.983553,0.00328947,0.348684,1.550393e-34,0
0.976974,0.00986842,0.348684,9.990683e-32,0
0.980263,0.00328947,0.351974,-4.175409e-36,0
0.976974,0.00657895,0.351974,-1.662035e-31,0
0.996711,0.00328947,0.348684,-4.766222e-37,0
0.990132,0.00986842,0.348684,-1.203827e-34,0
0.993421,0.00328947,0.351974,1.013718e-36,0
0.990132,0.00657895,0.351974,-8.016985e-35,0
0.00986842,0.0164474,0.348684,1.418308e-33,0
0.00328947,0.0230263,0.348684,-3.702409e-33,0
0.00657895,0.0164474,0.351974,-5.526426e-33,0
0.00328947,0.0197368,0.351974,-4.71974e-33,0
0.0230263,0.0164474,0.348684,1.765502e-31,0
0.0164474,0.0230263,0.348684,2.034781e-31,0
0.0197368,0.0164474,0.351974,-5.07296e-31,0
