step,time,transverse_centroid_offset,transverse_rms_radius,max_electric_field,max_capillary_acceleration,pass_metric,gas_charge_leakage_fraction,vof_mass_relative_error,divergence_reduction_ratio
17.0,0.017,0.01914008257283764,0.19950013535558525,0.004317719833833836,0.0,3.272995791825384e-05,0.0,-3.272995791825384e-05,1.0
18.0,0.018000000000000002,0.019172162502642157,0.19952164543133052,0.004317693168553698,0.0,3.272223739336777e-05,0.0,-3.272223739336777e-05,1.0
19.0,0.019,0.019204286000727173,0.19954314641055707,0.004317666531066205,0.0,3.271451205799636e-05,0.0,-3.271451205799636e-05,1.0
20.0,0.02,0.019236452822636783,0.19956463829660218,0.004317639921326673,0.0,3.2706781879388025e-05,0.0,-3.2706781879388025e-05,1.0
21.0,0.021,0.019268662725263754,0.1995861210928136,0.0043176133392902735,0.0,3.269904682778879e-05,0.0,-3.269904682778879e-05,1.0
22.0,0.022,0.019300915466843538,0.1996075948025482,0.004317586784912076,0.0,3.269130687977295e-05,0.0,-3.269130687977295e-05,1.0
23.0,0.023,0.019333210806949476,0.19962905942917084,0.004317560258147052,0.0,3.268356201180378e-05,0.0,-3.268356201180378e-05,1.0
24.0,0.024,0.019365548506484732,0.19965051497605318,0.004317533758950107,0.0,3.267581220478544e-05,0.0,-3.267581220478544e-05,1.0
25.0,0.025,0.019397928327675413,0.1996719614465732,0.004317507287276045,0.0,3.2668057441287424e-05,0.0,-3.2668057441287424e-05,1.0
26.0,0.026000000000000002,0.019430350034065742,0.19969339884411386,0.004317480843079653,0.0,3.266029770510048e-05,0.0,-3.266029770510048e-05,1.0
27.0,0.027,0.01946281339051031,0.19971482717206288,0.00431745442631565,0.0,3.2652532983235005e-05,0.0,-3.2652532983235005e-05,1.0
28.0,0.028,0.01949531816316933,0.199736246433812,0.004317428036938741,0.0,3.264476326347854e-05,0.0,-3.264476326347854e-05,1.0
29.0,0.029,0.01952786411950088,0.19975765663275621,0.004317401674903612,0.0,3.263698853317454e-05,0.0,-3.263698853317454e-05,1.0
30.0,0.03,0.01956045102825697,0.19977905777229363,0.0043173753401648945,0.0,3.262920878521758e-05,0.0,-3.262920878521758e-05,1.0
31.0,0.031,0.019593078479496356,0.1998004497946914,0.004317349032677253,0.0,3.262221704913859e-05,0.0,-3.262221704913859e-05,1.0
32.0,0.032,0.019625745535422075,0.19982183246226753,0.004317322751875978,0.0,3.261835059642504e-05,0.0,-3.261835059642504e-05,1.0
33.0,0.033,0.019658451971774325,0.19984320577896153,0.004317296495665451,0.0,3.2614477099346395e-05,0.0,-3.2614477099346395e-05,1.0
34.0,0.034,0.0196911975655563,0.19986456974871333,0.0043172702640008045,0.0,3.261059655490506e-05,0.0,-3.261059655490506e-05,1.0
35.0,0.035,0.01972398209502684,0.19988592437546313,0.0043172440568371535,0.0,3.260670895843809e-05,0.0,-3.260670895843809e-05,1.0
36.0,0.036000000000000004,0.01975680533969679,0.1999072696631508,0.004317217874129637,0.0,3.260281430694789e-05,0.0,-3.260281430694789e-05,1.0
37.0,0.037,0.019789667080319175,0.19992860561571618,0.004317191715833426,0.0,3.2598912598214014e-05,0.0,-3.2598912598214014e-05,1.0
38.0,0.038,0.019822567098886336,0.1999499322370982,0.0043171655819037105,0.0,3.259500382934988e-05,0.0,-3.259500382934988e-05,1.0
39.0,0.039,0.01985550517862123,0.19997124953123516,0.004317139472295707,0.0,3.2591087998912194e-05,0.0,-3.2591087998912194e-05,1.0
40.0,0.04,0.019888481103973045,0.19999255750206443,0.004317113386964678,0.0,3.2587165105568694e-05,0.0,-3.2587165105568694e-05,1.0
41.0,0.041,0.019921494660611105,0.2000138561535222,0.004317087325865899,0.0,3.258323514854222e-05,0.0,-3.258323514854222e-05,1.0
42.0,0.042,0.019954545635417043,0.20003514548954354,0.004317061288954701,0.0,3.2579298126722556e-05,0.0,-3.2579298126722556e-05,1.0
