step,time,transverse_centroid_offset,transverse_rms_radius,max_electric_field,max_capillary_acceleration,pass_metric,gas_charge_leakage_fraction,vof_mass_relative_error,divergence_reduction_ratio
34.0,0.034,0.021857041783550635,0.20121026499707298,0.004656379968746317,0.0,9.38712505520467e-05,0.0,-9.38712505520467e-05,1.0
35.0,0.035,0.021957528289466153,0.2012700251879953,0.004656180721210023,0.0,9.383595290257674e-05,0.0,-9.383595290257674e-05,1.0
36.0,0.036000000000000004,0.02205823537648938,0.20132971022771531,0.004655981761715085,0.0,9.380048915852424e-05,0.0,-9.380048915852424e-05,1.0
37.0,0.037,0.022159159484332308,0.20138932020585715,0.004655783089082038,0.0,9.376485961443137e-05,0.0,-9.376485961443137e-05,1.0
38.0,0.038,0.022260297111281222,0.2014488552118091,0.004655584702137508,0.0,9.372906456694974e-05,0.0,-9.372906456694974e-05,1.0
39.0,0.039,0.022361644813206145,0.20150831533472427,0.004655386599714167,0.0,9.36931043106215e-05,0.0,-9.36931043106215e-05,1.0
40.0,0.04,0.022463199202588456,0.20156770066352137,0.004655188780650717,0.0,9.365697914154314e-05,0.0,-9.365697914154314e-05,1.0
41.0,0.041,0.022564956947561086,0.20162701128688573,0.004654991243791815,0.0,9.362068935481194e-05,0.0,-9.362068935481194e-05,1.0
42.0,0.042,0.02266691477095855,0.2016862472932701,0.004654793987988101,0.0,9.358423524552517e-05,0.0,-9.358423524552517e-05,1.0
43.0,0.043000000000000003,0.02276906944938328,0.20174540877089545,0.004654597012096081,0.0,9.354761710911319e-05,0.0,-9.354761710911319e-05,1.0
